Идентификатор накладной	№ вагона	№ накладной	Состояние накладной	Дата приемосд. (все док-ты)	Дата прибытия	Дата раскр. (все док-ты)	Папка	Номер заявки	Идентификатор заявки	Код ТГНЛ Грузоотправителя	ОКПО Грузоотправителя	Наименование Грузоотправителя	Код ТГНЛ Грузополучателя	ОКПО Грузополучателя	Наименование Грузополучателя	Код станции отправления	Код плательщика на ст. отпр.	Код станции назначения	ОКПО порта назначения	Код груза ЕТ СНГ	Масса груза погруженая (кг);1	Код типа собств. вагона	ОКПО организации собственника	Наим. организации собственника	Сумма сбора;1	Сумма налога;1	Количество вагонов;1	Срок доставки	Дата приемосд. (действующие до	Код плательщика на ст. назн.	Итого сумма по прибытию;1	Итого НДС по прибытию;1
271095970	54455506	00547299	Работа с документом окончена	09.04.2012 1:00:36	16.04.2012 8:00:00	16.04.2012 12:54:04	Прибытие			9999		ЛИ ЛИН	4048	58789423	ООО,,ТрансЦентр,,	947005		895101		421034	0	1	93294342	ООО "ТрансЛес"	24274	4369,32	1	22.04.2012	09.04.2012 1:00:36	1000587151	24274	4369,32
271096222	54381132	00547298	Работа с документом окончена	09.04.2012 1:00:41	16.04.2012 8:00:00	16.04.2012 13:02:17	Прибытие			9999		ЛИ ЛИН	4048	58789423	ООО,,ТрансЦентр,,	947005		895101		421034	0	1	93294342	ООО "ТрансЛес"	24274	4369,32	1	22.04.2012	09.04.2012 1:00:41	1000587151	24274	4369,32
271003222	54456165	00547307	Работа с документом окончена	09.04.2012 1:00:54	16.04.2012 8:00:00	16.04.2012 12:50:05	Прибытие			9999		ТЭК СИНЬ ЮЭЙ	4048	58789423	ООО,,ТрансЦентр,,	947005		895101		421034	0	1	93294342	ООО "ТрансЛес"	24274	4369,32	1	22.04.2012	09.04.2012 1:00:54	1000587151	24274	4369,32
270829275	54846464	ЭИ624725	Работа с документом окончена	09.04.2012 18:54:40	09.04.2012 18:58:12	09.04.2012 19:01:06	Прибытие			8177	71782437	ООО "СибУглеМетТранс"	4048	58789423	ООО,,ТрансЦентр,,	893500	1002702379	893500		421034	0	1	71782437	ООО "СибУглеМетТранс"	84	15,12	2	12.04.2012	09.04.2012 18:54:40	1002702379	0	0
269567262	52014099	ЭИ132521	Работа с документом окончена	09.04.2012 20:20:42	15.04.2012 8:04:00	15.04.2012 13:19:45	Прибытие			1654	48478142	ООО "Фирма "Трансгарант"	2031	58789423	ООО,,ТрансЦентр,,	893500	1000230921	895101		421034	0	1	48478142	ООО "Фирма "Трансгарант"	3411	613,98	1	13.04.2012	09.04.2012 20:20:42	1000230921	0	0
271116472	42857862	АГ918570	Испорчен	10.04.2012 1:00:00			Не действительны			2274	93294342	ООО "ТрансЛес"	4048	58789423	ООО,,ТрансЦентр,,	947005	1002256437	895101		421034	0	1	82404922	ОАО "Первая грузовая компания"	0	0	1	23.04.2012 1:43:59			0	0
270514203	54479084	АГ925342	Работа с документом окончена	10.04.2012 1:00:09	15.04.2012 0:40:00	15.04.2012 7:37:23	Прибытие			4048	58789423	ООО,,ТрансЦентр,,	4048	58789423	ООО,,ТрансЦентр,,	947005	1000587151	893500		421034	0	1	93294342	ООО "ТрансЛес"	24232	4361,76	1	23.04.2012	10.04.2012 1:00:09	1000587151	24232	4361,76
271208740	52639879	00629827	Работа с документом окончена	10.04.2012 1:00:33	16.04.2012 0:35:00	16.04.2012 5:46:24	Прибытие			9999		МАНЬЧЖУРСКАЯ ТОРГ ЭКОНОМ КОМПАНИЯ	4048	58789423	ООО,,ТрансЦентр,,	947005		880801		421104	0	1	48478142	ООО "Фирма "Трансгарант"	25439	4579,02	1	26.04.2012	10.04.2012 1:00:33	1000587151	25439	4579,02
270916644	52158748	ЭИ663137	Работа с документом окончена	10.04.2012 12:49:40	10.04.2012 12:52:06	11.04.2012 11:54:23	Прибытие			760	82404922	ОАО "Первая грузовая компания"	4048	58789423	ООО,,ТрансЦентр,,	893500	1002950760	893500		421034	0	1	82404922	ОАО "Первая грузовая компания"	26	4,68	1	12.04.2012	10.04.2012 12:49:40	1002950760	0	0
270461204	54474556	АГ925127	Работа с документом окончена	11.04.2012 1:00:00	16.04.2012 8:00:00	16.04.2012 12:42:52	Прибытие			4048	58789423	ООО,,ТрансЦентр,,	4048	58789423	ООО,,ТрансЦентр,,	947005	1000587151	895101		421034	0	1	93294342	ООО "ТрансЛес"	24274	4369,32	1	24.04.2012	11.04.2012 1:00:00	1000587151	24274	4369,32
271341822	54495635	00537725	Работа с документом окончена	11.04.2012 1:00:19	18.04.2012 1:01:00	18.04.2012 5:20:39	Прибытие			9999		ЧАН СЭН	2031	58789423	ООО,,ТрансЦентр,,	947005		893500		421034	0	1	93294342	ООО "ТрансЛес"	24232	4361,76	1	24.04.2012	11.04.2012 1:00:19	1000587151	24232	4361,76
271341920	54376454	00547300	Работа с документом окончена	11.04.2012 1:00:35	30.04.2012 22:45:00	01.05.2012 7:35:20	Прибытие			9999		ЛИ ЛИН	2031	58789423	ООО,,ТрансЦентр,,	947005		895101		421034	0	1	93294342	ООО "ТрансЛес"	24274	4369,32	1	24.04.2012	11.04.2012 1:00:35	1000587151	24274	4369,32
271347221	54439187	00538472	Работа с документом окончена	11.04.2012 1:00:43	16.04.2012 0:05:00	16.04.2012 4:24:24	Прибытие			9999		СИНЬ И	2031	58789423	ООО,,ТрансЦентр,,	947005		893500		421034	0	1	93294342	ООО "ТрансЛес"	24232	4361,76	1	25.04.2012	11.04.2012 1:00:43	1000587151	24232	4361,76
271341880	54382775	00537726	Работа с документом окончена	11.04.2012 1:00:59	18.04.2012 1:01:00	18.04.2012 5:22:41	Прибытие			9999		ЧАН СЭН	2031	58789423	ООО,,ТрансЦентр,,	947005		893500		421034	0	1	82404922	ОАО "Первая грузовая компания"	24232	4361,76	1	24.04.2012	11.04.2012 1:00:59	1000587151	24232	4361,76
270651007	54427000	ЭИ553791	Работа с документом окончена	11.04.2012 5:48:58	13.04.2012 13:05:00	14.04.2012 5:31:42	Прибытие			3669	73472132	ООО "Грузовая компания " Новотранс"	4048	58789423	ООО,,ТрансЦентр,,	890108	1001788853	880801		421034	0	1	74296720	ОАО Холдинговая компания "Новотранс"	3833	689,94	1	15.04.2012	11.04.2012 5:48:58	1001788853	0	0
270651749	54438882	ЭИ554031	Работа с документом окончена	11.04.2012 5:51:07	13.04.2012 13:05:00	14.04.2012 5:27:58	Прибытие			3669	73472132	ООО "Грузовая компания " Новотранс"	4048	58789423	ООО,,ТрансЦентр,,	890108	1001788853	880801		421034	0	1	74296720	ОАО Холдинговая компания "Новотранс"	3833	689,94	1	15.04.2012	11.04.2012 5:51:07	1001788853	0	0
271457356	54371596	00547301	Работа с документом окончена	12.04.2012 1:00:18	17.04.2012 22:52:00	18.04.2012 9:25:28	Прибытие			9999		ЛИ ЛИН	2031	58789423	ООО,,ТрансЦентр,,	947005		895101		421034	0	1	82404922	ОАО "Первая грузовая компания"	24274	4369,32	1	25.04.2012	12.04.2012 1:00:18	1000587151	24274	4369,32
